date,cnt,death,injured
19920101,38,2,47
19920102,41,0,49
19920103,57,1,62
19920104,52,2,57
19920105,53,0,65
19920106,58,1,75
19920107,55,1,59
19920108,37,1,37
19920109,72,2,83
19920110,73,2,95
19920111,56,1,63
19920112,51,0,61
19920113,58,0,71
19920114,61,1,68
19920115,60,0,66
19920116,47,3,50
19920117,39,0,46
19920118,53,1,54
19920119,39,0,52
19920120,57,1,65
19920121,52,0,69
19920122,59,2,58
19920123,40,0,46
19920124,77,3,78
19920125,56,2,59
19920126,43,4,41
19920127,70,1,70
19920128,57,0,64
19920129,58,2,70
19920130,55,4,59
19920131,87,0,112
19920201,72,1,79
19920202,67,3,79
19920203,42,0,55
19920204,38,0,45
19920205,28,0,35
19920206,61,3,65
19920207,48,0,51
19920208,52,1,60
19920209,34,1,45
19920210,52,0,55
19920211,53,1,65
19920212,47,0,55
19920213,51,4,62
19920214,64,2,74
19920215,71,2,112
19920216,36,0,55
19920217,68,1,73
19920218,53,2,60
19920219,51,3,67
19920220,38,1,48
19920221,69,2,77
19920222,78,0,83
19920223,69,2,98
19920224,52,1,55
19920225,57,0,68
19920226,52,1,59
19920227,55,1,56
19920228,70,2,88
19920229,79,0,103
19920301,52,3,57
19920302,45,0,53
19920303,56,1,59
19920304,70,2,79
19920305,62,1,69
19920306,58,0,68
19920307,55,0,57
19920308,34,1,37
19920309,63,0,74
19920310,50,0,53
19920311,65,4,74
19920312,57,1,63
19920313,54,0,59
19920314,62,3,73
19920315,55,2,68
19920316,83,1,98
19920317,82,1,92
19920318,58,2,62
19920319,50,1,66
19920320,66,3,72
19920321,69,2,71
19920322,58,1,67
19920323,62,1,75
19920324,64,1,65
19920325,63,2,74
19920326,72,2,77
19920327,67,0,72
19920328,63,1,65
19920329,62,0,70
19920330,68,1,76
19920331,81,0,104
19920401,69,1,71
19920402,64,0,92
19920403,64,0,73
19920404,64,0,68
19920405,66,2,81
19920406,67,1,79
19920407,64,1,75
19920408,69,0,74
19920409,63,1,75
19920410,84,0,97
19920411,99,3,102
19920412,50,1,61
19920413,80,0,103
19920414,64,4,64
19920415,68,0,75
19920416,72,2,83
19920417,73,3,75
19920418,84,3,95
19920419,68,1,77
19920420,64,0,74
19920421,76,0,90
19920422,70,1,78
19920423,72,2,76
19920424,70,0,81
19920425,69,0,74
19920426,72,2,82
19920427,54,0,69
19920428,64,1,72
19920429,86,2,96
19920430,92,3,104
19920501,59,0,68
19920502,64,0,72
19920503,43,0,53
19920504,92,0,99
19920505,67,0,74
19920506,52,1,71
19920507,75,1,117
19920508,54,1,58
19920509,68,0,72
19920510,51,0,65
19920511,59,1,64
19920512,63,3,69
19920513,62,0,74
19920514,84,3,91
19920515,69,1,77
19920516,62,1,69
19920517,63,4,69
19920518,83,0,96
19920519,68,2,78
19920520,65,2,73
19920521,80,2,80
19920522,52,2,59
19920523,77,6,94
19920524,61,0,79
19920525,84,0,108
19920526,67,2,79
19920527,66,0,73
19920528,60,1,65
19920529,66,0,75
19920530,64,3,70
19920531,42,2,51
19920601,76,1,80
19920602,75,0,86
19920603,76,2,83
19920604,81,3,89
19920605,70,1,75
19920606,73,1,90
19920607,58,0,83
19920608,68,1,82
19920609,67,0,74
19920610,60,2,69
19920611,70,0,77
19920612,77,1,87
19920613,66,0,71
19920614,56,1,68
19920615,68,0,73
19920616,77,2,86
19920617,87,2,93
19920618,55,1,66
19920619,74,5,86
19920620,74,2,89
19920621,64,0,73
19920622,67,0,69
19920623,72,6,73
19920624,46,1,52
19920625,57,0,59
19920626,62,2,84
19920627,78,0,86
19920628,59,1,63
19920629,68,2,75
19920630,75,1,79
19920701,65,1,72
19920702,52,0,59
19920703,80,1,103
19920704,86,1,97
19920705,57,0,68
19920706,62,0,74
19920707,66,2,68
19920708,57,0,60
19920709,62,0,69
19920710,51,1,67
19920711,65,0,67
19920712,68,4,93
19920713,55,1,60
19920714,43,0,47
19920715,49,2,54
19920716,73,2,82
19920717,42,1,42
19920718,70,1,72
19920719,43,0,52
19920720,60,1,65
19920721,55,0,65
19920722,50,0,60
19920723,47,0,65
19920724,73,0,81
19920725,80,3,94
19920726,43,1,53
19920727,54,0,60
19920728,47,1,50
19920729,55,0,67
19920730,66,3,69
19920731,49,1,51
19920801,67,0,77
19920802,39,1,56
19920803,57,0,64
19920804,66,2,86
19920805,75,6,87
19920806,63,1,65
19920807,48,1,50
19920808,60,1,68
19920809,53,1,62
19920810,58,2,61
19920811,53,0,60
19920812,56,1,65
19920813,63,1,72
19920814,76,3,100
19920815,49,3,53
19920816,34,3,41
19920817,46,1,48
19920818,52,1,64
19920819,57,2,69
