날짜,대여 수,대여 평균시간 (시간:분)
01월 01일 대여,1525,0:06
01월 02일 대여,2414,0:08
01월 03일 대여,2466,0:18
01월 04일 대여,2274,0:09
01월 05일 대여,2048,0:09
01월 06일 대여,1067,0:05
01월 07일 대여,204,0:02
01월 08일 대여,1881,0:08
01월 09일 대여,2357,0:09
01월 10일 대여,2483,0:29
01월 11일 대여,2131,0:08
01월 12일 대여,1774,0:06
01월 13일 대여,2143,0:06
01월 14일 대여,2260,0:09
01월 15일 대여,2258,0:08
01월 16일 대여,2334,0:07
01월 17일 대여,2430,0:11
01월 18일 대여,2084,0:17
01월 19일 대여,1792,0:06
01월 20일 대여,2135,0:06
01월 21일 대여,2413,0:07
01월 22일 대여,2500,0:08
01월 23일 대여,2740,0:08
01월 24일 대여,1399,0:05
01월 25일 대여,1103,0:05
01월 26일 대여,1805,0:12
01월 27일 대여,1291,0:10
01월 28일 대여,2531,0:13
01월 29일 대여,2872,0:09
01월 30일 대여,2885,0:14
01월 31일 대여,2794,0:30
02월 01일 대여,2249,0:08
02월 02일 대여,2054,0:52
02월 03일 대여,2388,0:26
02월 04일 대여,2003,0:13
02월 05일 대여,1804,0:14
02월 06일 대여,1870,0:08
02월 07일 대여,2315,0:07
02월 08일 대여,1967,0:07
02월 09일 대여,1903,0:11
02월 10일 대여,2581,0:09
02월 11일 대여,3051,0:13
02월 12일 대여,754,0:04
02월 13일 대여,2494,0:11
02월 14일 대여,3172,0:14
02월 15일 대여,2384,0:14
02월 16일 대여,720,0:03
02월 17일 대여,1256,0:05
02월 18일 대여,2061,0:08
02월 19일 대여,2561,0:09
02월 20일 대여,2942,0:11
02월 21일 대여,2471,0:12
02월 22일 대여,1611,0:06
02월 23일 대여,1843,0:09
02월 24일 대여,2760,0:28
02월 25일 대여,1099,0:07
02월 26일 대여,2446,0:10
02월 27일 대여,2562,0:11
02월 28일 대여,961,0:04
02월 29일 대여,2376,0:13
03월 01일 대여,1696,0:09
03월 02일 대여,2414,0:08
03월 03일 대여,2598,0:27
03월 04일 대여,2109,0:06
03월 05일 대여,2297,0:10
03월 06일 대여,2653,0:09
03월 07일 대여,2278,0:10
03월 08일 대여,2409,0:17
03월 09일 대여,2517,0:11
03월 10일 대여,1038,0:06
03월 11일 대여,2459,0:10
03월 12일 대여,2956,0:27
03월 13일 대여,2684,1:46
03월 14일 대여,2433,0:21
03월 15일 대여,1856,0:10
03월 16일 대여,2571,0:10
03월 17일 대여,2783,0:11
03월 18일 대여,3395,0:31
03월 19일 대여,2256,0:08
03월 20일 대여,3301,0:29
03월 21일 대여,3511,0:25
03월 22일 대여,3416,0:22
03월 23일 대여,3573,0:18
03월 24일 대여,3807,0:18
03월 25일 대여,4020,0:20
03월 26일 대여,2699,0:24
03월 27일 대여,3289,0:19
03월 28일 대여,3256,0:18
03월 29일 대여,3715,1:00
03월 30일 대여,4123,0:20
03월 31일 대여,4289,0:17
04월 01일 대여,4321,0:18
04월 02일 대여,4304,0:17
04월 03일 대여,4624,0:18
04월 04일 대여,4108,0:22
